week,year,holidays,weekofyear,linear,linear_1
2018-06-03,0.5,0,22,0.488636363636364,0.238765495867769
2018-06-10,0.5,0,23,0.494318181818182,0.244350464876033
2018-06-17,0.5,0,24,0.5,0.25
2018-06-24,0.5,0,25,0.505681818181818,0.25571410123967
2018-07-01,0.5,0,26,0.511363636363636,0.261492768595041
2018-07-08,0.5,0,27,0.517045454545455,0.267336002066116
2018-07-15,0.5,0,28,0.522727272727273,0.273243801652893
2018-07-22,0.5,0,29,0.528409090909091,0.279216167355372
2018-07-29,0.5,0,30,0.534090909090909,0.285253099173554
2018-08-05,0.5,0,31,0.539772727272727,0.291354597107438
2018-08-12,0.5,0,32,0.545454545454545,0.297520661157025
2018-08-19,0.5,0,33,0.551136363636364,0.303751291322314
2018-08-26,0.5,0,34,0.556818181818182,0.310046487603306
2018-09-02,0.5,0,35,0.5625,0.31640625
2018-09-09,0.5,0,36,0.568181818181818,0.322830578512397
2018-09-16,0.5,0,37,0.573863636363636,0.329319473140496
2018-09-23,0.5,0,38,0.579545454545455,0.335872933884298
2018-09-30,0.5,0,39,0.585227272727273,0.342490960743802
2018-10-07,0.5,0,40,0.590909090909091,0.349173553719008
2018-10-14,0.5,0,41,0.596590909090909,0.355920712809917
2018-10-21,0.5,0,42,0.602272727272727,0.362732438016529
2018-10-28,0.5,0,43,0.607954545454546,0.369608729338843
2018-11-04,0.5,0,44,0.613636363636364,0.37654958677686
2018-11-11,0.5,1,45,0.619318181818182,0.383555010330579
2018-11-18,0.5,0,46,0.625,0.390625
2018-11-25,0.5,0,47,0.630681818181818,0.397759555785124
2018-12-02,0.5,0,48,0.636363636363636,0.40495867768595
2018-12-09,0.5,0,49,0.642045454545455,0.412222365702479
2018-12-16,0.5,0,50,0.647727272727273,0.419550619834711
2018-12-23,0.5,0,51,0.653409090909091,0.426943440082645
2018-12-30,0.5,0,52,0.659090909090909,0.434400826446281
2019-01-06,0.75,0,1,0.664772727272727,0.44192277892562
2019-01-13,0.75,0,2,0.670454545454546,0.449509297520661
2019-01-20,0.75,0,3,0.676136363636364,0.457160382231405
2019-01-27,0.75,0,4,0.681818181818182,0.464876033057851
2019-02-03,0.75,0,5,0.6875,0.47265625
2019-02-10,0.75,0,6,0.693181818181818,0.480501033057851
2019-02-17,0.75,0,7,0.698863636363636,0.488410382231405
2019-02-24,0.75,0,8,0.704545454545455,0.496384297520661
2019-03-03,0.75,0,9,0.710227272727273,0.50442277892562
2019-03-10,0.75,0,10,0.715909090909091,0.512525826446281
2019-03-17,0.75,0,11,0.721590909090909,0.520693440082645
2019-03-24,0.75,0,12,0.727272727272727,0.528925619834711
2019-03-31,0.75,0,13,0.732954545454546,0.537222365702479
2019-04-07,0.75,0,14,0.738636363636364,0.54558367768595
2019-04-14,0.75,0,15,0.744318181818182,0.554009555785124
2019-04-21,0.75,0,16,0.75,0.5625
2019-04-28,0.75,0,17,0.755681818181818,0.571055010330579
2019-05-05,0.75,0,18,0.761363636363636,0.579674586776859
2019-05-12,0.75,0,19,0.767045454545455,0.588358729338843
2019-05-19,0.75,0,20,0.772727272727273,0.597107438016529
2019-05-26,0.75,0,21,0.778409090909091,0.605920712809918
2019-06-02,0.75,0,22,0.784090909090909,0.614798553719008
2019-06-09,0.75,0,23,0.789772727272727,0.623740960743802
2019-06-16,0.75,0,24,0.795454545454546,0.632747933884298
2019-06-23,0.75,0,25,0.801136363636364,0.641819473140496
2019-06-30,0.75,0,26,0.806818181818182,0.650955578512397
2019-07-07,0.75,0,27,0.8125,0.66015625
2019-07-14,0.75,0,28,0.818181818181818,0.669421487603306
2019-07-21,0.75,0,29,0.823863636363636,0.678751291322314
2019-07-28,0.75,0,30,0.829545454545455,0.688145661157025
2019-08-04,0.75,0,31,0.835227272727273,0.697604597107438
2019-08-11,0.75,0,32,0.840909090909091,0.707128099173554
2019-08-18,0.75,0,33,0.846590909090909,0.716716167355372
2019-08-25,0.75,0,34,0.852272727272727,0.726368801652893
2019-09-01,0.75,0,35,0.857954545454546,0.736086002066116
2019-09-08,0.75,0,36,0.863636363636364,0.745867768595041
2019-09-15,0.75,0,37,0.869318181818182,0.75571410123967
2019-09-22,0.75,0,38,0.875,0.765625
2019-09-29,0.75,0,39,0.880681818181818,0.775600464876033
2019-10-06,0.75,0,40,0.886363636363636,0.785640495867769
2019-10-13,0.75,0,41,0.892045454545455,0.795745092975207
2019-10-20,0.75,0,42,0.897727272727273,0.805914256198347
2019-10-27,0.75,0,43,0.903409090909091,0.81614798553719
2019-11-03,0.75,0,44,0.909090909090909,0.826446280991736
2019-11-10,0.75,0,45,0.914772727272727,0.836809142561983
2019-11-17,0.75,0,46,0.920454545454546,0.847236570247934
2019-11-24,0.75,0,47,0.926136363636364,0.857728564049587
2019-12-01,0.75,0,48,0.931818181818182,0.868285123966942
2019-12-08,0.75,0,49,0.9375,0.87890625
2019-12-15,0.75,0,50,0.943181818181818,0.889591942148761
2019-12-22,0.75,0,51,0.948863636363636,0.900342200413223
2019-12-29,0.75,0,52,0.954545454545455,0.911157024793389
2020-01-05,1.0,0,1,0.960227272727273,0.922036415289256
2020-01-12,1.0,0,2,0.965909090909091,0.932980371900826
2020-01-19,1.0,0,3,0.971590909090909,0.943988894628099
2020-01-26,1.0,0,4,0.977272727272727,0.955061983471074
2020-02-02,1.0,0,5,0.982954545454546,0.966199638429752
2020-02-09,1.0,0,6,0.988636363636364,0.977401859504132
2020-02-16,1.0,0,7,0.994318181818182,0.988668646694215
2020-02-23,1.0,0,8,1.0,1.0
